City,State,Count,Max Distance
San Bernardino,CA,91,46.0
Costa Mesa,CA,35,7.0
Long Beach,CA,134,20.0
Hialeah,FL,63,27.0
Westminster,CO,124,13.0
Edison,NJ,178,42.0
El Monte,CA,49,11.0
Ann Arbor,MI,275,66.0
Miramar,FL,6,5.0
Sparks,NV,81,208.0
Hampton,VA,88,171.0
Madison,WI,440,123.0
San Jose,CA,282,45.0
Denver,CO,444,21.0
Torrance,CA,63,12.0
Surprise,AZ,52,43.0
Fargo,ND,467,345.0
Garland,TX,93,42.0
Santa Rosa,CA,104,102.0
Simi Valley,CA,94,21.0
Greensboro,NC,154,119.0
Los Angeles,CA,101,22.0
Woodbridge,NJ,54,29.0
Alexandria,VA,477,53.0
Akron,OH,489,109.0
Aurora,IL,82,43.0
Norfolk,VA,152,21.0
Irvine,CA,165,32.0
Menifee,CA,131,61.0
Albuquerque,NM,241,343.0
Mesquite,TX,63,48.0
North Las Vegas,NV,73,66.0
Indianapolis,IN,496,130.0
Beaumont,TX,125,126.0
Winston-Salem,NC,208,123.0
Durham,NC,145,111.0
Centennial,CO,184,29.0
Warren,MI,103,55.0
Pueblo,CO,78,164.0
Austin,TX,409,99.0
Temecula,CA,59,72.0
New Orleans,LA,232,120.0
Reno,NV,228,119.0
Riverside,CA,70,31.0
South Fulton,GA,208,63.0
Richmond,VA,541,135.0
Corpus Christi,TX,143,189.0
Modesto,CA,178,89.0
Rochester,MN,246,134.0
Toledo,OH,316,94.0
Amarillo,TX,96,329.0
Syracuse,NY,566,186.0
Scottsdale,AZ,27,17.0
Downey,CA,125,14.0
Sugar Land,TX,202,61.0
Mesa,AZ,148,23.0
Sunnyvale,CA,90,23.0
McKinney,TX,96,49.0
Wichita,KS,237,236.0
Sandy Springs,GA,540,53.0
Columbia,SC,273,151.0
Chula Vista,CA,223,105.0
Oxnard,CA,40,54.0
Albany,NY,455,144.0
Topeka,KS,120,136.0
Pearland,TX,66,59.0
Tampa,FL,357,94.0
Fresno,CA,125,88.0
Charlotte,NC,525,128.0
College Station,TX,111,99.0
Sioux Falls,SD,203,304.0
Wilmington,NC,297,134.0
Wichita Falls,TX,144,179.0
Palm Coast,FL,252,105.0
New Bedford,MA,137,82.0
Rio Rancho,NM,158,406.0
West Palm Beach,FL,134,151.0
Paterson,NJ,137,31.0
Greeley,CO,65,28.0
Aurora,CO,97,28.0
Odessa,TX,54,315.0
Fort Lauderdale,FL,46,9.0
West Jordan,UT,204,39.0
Midland,TX,37,169.0
Richardson,TX,112,12.0
Tempe,AZ,201,21.0
Hartford,CT,301,75.0
Seattle,WA,703,19.0
Richmond,CA,52,25.0
Memphis,TN,389,215.0
Vancouver,WA,199,47.0
Raleigh,NC,405,119.0
El Cajon,CA,94,89.0
Cincinnati,OH,542,93.0
Thousand Oaks,CA,24,24.0
Chico,CA,148,174.0
Nampa,ID,110,452.0
Roseville,CA,249,116.0
Las Vegas,NV,384,270.0
Victorville,CA,56,78.0
Rochester,NY,455,138.0
Carrollton,TX,75,11.0
Lakewood,CO,174,25.0
Clovis,CA,40,111.0
St. Petersburg,FL,171,69.0
Fairfield,CA,34,12.0
Fort Worth,TX,386,49.0
Allentown,PA,465,75.0
League City,TX,197,72.0
Overland Park,KS,108,121.0
Shreveport,LA,212,255.0
Killeen,TX,137,123.0
Chesapeake,VA,83,176.0
Mobile,AL,493,182.0
Atlanta,GA,383,52.0
Spokane Valley,WA,261,363.0
Peoria,IL,249,171.0
Worcester,MA,220,54.0
Thornton,CO,107,30.0
Dearborn,MI,231,36.0
